comment,cluster_name,cluster_size,cluster_prop,init_x,init_y,dim_red_x,dim_red_y,x,y
"Organiser des réunions, des débats","Organiser des réunions, des débats",1404,0.15633003006346732,-0.25906336276871106,0.4311638228022826,-12.179782,-42.98711,-8.728369146585464,-5.003674328327179
Organiser des débats mensuel avec des citoyens triés au sort.,"Organiser des réunions, des débats",1404,0.15633003006346732,-1.5941221506287768,0.8604028541333374,-14.518806,-40.125366,-8.656184792518616,-5.0972243547439575
"DES DÉBATS , RÉUNIONS PUBLIQUES ,  RÉFÉRENDUMS","Organiser des réunions, des débats",1404,0.15633003006346732,0.6968864532679464,0.7171543301926971,-2.6983798,-45.177948,-10.87500274181366,-5.625823557376862
Des réunions débats,"Organiser des réunions, des débats",1404,0.15633003006346732,1.208183940636824,-0.04134563473798503,-11.960171,-45.046207,-8.267449259757996,-5.012899935245514
"Organiser des débats, des rencontres publiques.","Organiser des réunions, des débats",1404,0.15633003006346732,-0.5600760771341239,-0.9819587577134383,-11.36737,-54.35689,-7.976436257362366,-4.857418537139893
"Rapprocher les élus des citoyens au lieu de créer des régions gigantesques, des regroupements de communes et des agglomérations.  Instituer un jour par semaine pour l'accueil des citoyens.  Organiser des réunions, des consultations écrites, voire des referendums locaux.  Faire des bilans réguliers des décisions prises.","Organiser des réunions, des débats",1404,0.15633003006346732,0.14080346548260847,0.9258123460123092,-3.798666,-18.984898,-9.292721152305603,-5.69933819770813
"Des débats, des référendums locaux","Organiser des réunions, des débats",1404,0.15633003006346732,0.6393662244150748,-0.10651322205416883,-24.559486,-45.344994,-8.706126183271408,-5.993384382221848
des réunions plus régulières. Associer les citoyens aux décisions : budget de dépenses décidées par quartier ou village  avec des citoyens tirés au sort. % citoyens tirés au sort dans les conseils muncipaux.,"Organiser des réunions, des débats",1404,0.15633003006346732,0.10417989819099144,0.6476136397502683,-41.39377,-9.556627,-7.543896794319153,-7.004703640937805
"déléguer davantage aux élus locaux. proposer, par tirage au sort à des citoyens, de participer à des débats.","Organiser des réunions, des débats",1404,0.15633003006346732,-0.2857477079867431,-0.3967222154283479,-39.8041,-19.79505,-9.694819271564484,-7.459355592727661
des réunions,"Organiser des réunions, des débats",1404,0.15633003006346732,1.2811694868855779,1.666002489774778,-5.510136,-43.97672,-10.347869634628296,-4.956820011138916
des réunions informelles,"Organiser des réunions, des débats",1404,0.15633003006346732,0.7782850548980195,0.13162697687792888,-5.510136,-43.97672,-10.347869753837585,-4.956814408302307
Organiser des débats ou référendums au niveau local.,"Organiser des réunions, des débats",1404,0.15633003006346732,-0.6514702960517701,-1.0692267713662298,-29.97371,-37.54337,-8.607180386781693,-7.212639689445496
Organiser des consultations locales ou des référendums locaux.,"Organiser des réunions, des débats",1404,0.15633003006346732,0.36947238742806904,0.7275787972075092,-23.86204,-49.060837,-9.207073703408241,-6.379452079534531
