comment,cluster_name,cluster_size,cluster_prop,init_x,init_y,dim_red_x,dim_red_y,x,y
"panneaux solaire ,géothermie","panneaux solaire ,géothermie",1196,0.13346724695904474,-0.9297936294032296,0.10627645067453054,13.183252,29.542385,-8.299656569957733,-7.793115019798279
panneaux solaire,"panneaux solaire ,géothermie",1196,0.13346724695904474,1.409328927725527,0.4911710709296955,23.39454,25.35719,-7.919353485107422,-6.847364246845245
Panneaux solaire.,"panneaux solaire ,géothermie",1196,0.13346724695904474,0.9681498514651347,0.32406446952785184,23.394596,25.357315,-7.919351696968079,-6.847353160381317
"La géothermie, les panneaux solaires","panneaux solaire ,géothermie",1196,0.13346724695904474,-0.7907821471079176,-1.073085872727375,29.62424,14.965729,-10.942606806755066,-5.081043481826782
"le solaire : ballon solaire, panneaux photovoltaïques","panneaux solaire ,géothermie",1196,0.13346724695904474,-0.35264827535131743,-0.6188632449571045,22.900963,24.720469,-7.9073851108551025,-6.613650560379028
"le solaire, la géothermie","panneaux solaire ,géothermie",1196,0.13346724695904474,-0.3132074220904677,0.5934701262765999,13.87995,30.422915,-8.38966852426529,-7.682375073432922
"Géothermie, panneaux solaires","panneaux solaire ,géothermie",1196,0.13346724695904474,0.15697829763096288,-0.7698060219456555,29.51589,14.890305,-10.952369451522827,-5.071905553340912
la géothermie et le solaire,"panneaux solaire ,géothermie",1196,0.13346724695904474,-1.642800843564668,0.3329463303786859,13.842599,30.324139,-8.378686666488647,-7.693218111991882
Géothermie et panneaux solaires,"panneaux solaire ,géothermie",1196,0.13346724695904474,-0.2172614810189362,-2.1245500900044854,29.519331,14.913766,-10.949378848075867,-5.0707932114601135
chauffe eau solaire panneaux solaires sur le toit,"panneaux solaire ,géothermie",1196,0.13346724695904474,0.5132078373511542,-0.37302761639743365,-13.661049,20.782436,-8.970133624970913,-4.660112023353577
Le solaire ou la géothermie,"panneaux solaire ,géothermie",1196,0.13346724695904474,-2.0167411012404153,-0.2776544627641962,13.904572,30.630285,-8.39951753616333,-7.670978784561157
